id_student,code_module,code_presentation,total_score*weight,attempted_weight,adjusted_mark,mark,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,module_presentation
28418,CCC,2014B,291.0,9.0,2.791411042944785,1.5,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,30,N,Fail,CCC_2014B
28787,CCC,2014J,3398.0,75.0,40.085659898477076,17.0,M,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,CCC_2014J
28808,FFF,2014B,1750.0,25.0,14.654907975460123,8.8,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,FFF_2014B
28897,FFF,2014B,8850.0,100.0,88.99082568806473,44.2,M,South West Region,A Level or Equivalent,10-20,0-35,0,120,N,Distinction,FFF_2014B
28952,CCC,2014J,602.0,11.0,,,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,CCC_2014J
29144,BBB,2013B,5302.0,81.0,32.239263803680984,26.5,M,South Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,BBB_2013B
29335,FFF,2013J,9500.0,100.0,98.00786369592431,47.5,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,FFF_2013J
29411,CCC,2014J,126.0,11.0,,,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,150,N,Withdrawn,CCC_2014J
29411,DDD,2013J,13765.0,200.0,68.8,68.8,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Distinction,DDD_2013J
29420,CCC,2014J,9531.0,141.0,69.62246192890572,47.7,M,Wales,A Level or Equivalent,70-80%,0-35,0,30,N,Pass,CCC_2014J
29639,CCC,2014J,12557.0,150.0,83.7,62.8,M,North Region,Lower Than A Level,,0-35,0,30,N,Distinction,CCC_2014J
29639,EEE,2014B,8348.0,100.0,64.87309644667675,41.7,M,North Region,Lower Than A Level,,0-35,0,30,N,Pass,EEE_2014B
29764,CCC,2014B,13665.0,150.0,91.1,68.3,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,90,N,Distinction,CCC_2014B
29769,FFF,2013J,4975.0,75.0,30.820552147239265,24.9,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,60,N,Fail,FFF_2013J
29820,CCC,2014B,12258.0,150.0,81.7,61.3,M,East Anglian Region,HE Qualification,40-50%,0-35,0,60,N,Distinction,CCC_2014B
29820,EEE,2014B,7940.0,100.0,61.484771573583544,39.7,M,East Anglian Region,HE Qualification,40-50%,0-35,0,60,N,Pass,EEE_2014B
29985,GGG,2014B,6900.0,100.0,52.027284263947905,34.5,F,South Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass,GGG_2014B
30091,BBB,2013J,6300.0,82.0,47.5475888324801,31.5,F,South West Region,A Level or Equivalent,10-20,0-35,0,60,Y,Pass,BBB_2013J
30096,CCC,2014J,13804.0,150.0,92.0,69.0,M,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Distinction,CCC_2014J
30531,FFF,2014B,2175.0,25.0,17.86042944785276,10.9,M,East Anglian Region,Lower Than A Level,50-60%,0-35,1,180,N,Fail,FFF_2014B
30549,DDD,2013J,350.0,10.0,3.473926380368098,1.8,M,South East Region,A Level or Equivalent,0-10%,35-55,2,60,N,Fail,DDD_2013J
30850,CCC,2014J,14924.0,150.0,99.5,74.6,F,Scotland,HE Qualification,60-70%,35-55,0,120,N,Distinction,CCC_2014J
31014,BBB,2013J,3595.0,43.0,,,F,West Midlands Region,Lower Than A Level,80-90%,35-55,0,120,N,Withdrawn,BBB_2013J
31107,GGG,2014B,7433.3,100.0,56.82106598983165,37.2,M,South West Region,Lower Than A Level,40-50%,35-55,0,30,N,Pass,GGG_2014B
31161,CCC,2014J,14708.0,150.0,98.1,73.5,M,South Region,Post Graduate Qualification,90-100%,55<=,0,105,N,Distinction,CCC_2014J
31173,DDD,2013J,7712.5,200.0,38.6,38.6,M,North Western Region,A Level or Equivalent,40-50%,35-55,1,60,N,Distinction,DDD_2013J
31205,GGG,2014J,5400.0,66.7,32.70705521472393,27.0,M,East Midlands Region,Lower Than A Level,20-30%,35-55,0,30,Y,Fail,GGG_2014J
31269,DDD,2014B,1287.5,22.5,,,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,1,120,N,Withdrawn,DDD_2014B
31296,FFF,2014J,5225.0,100.0,31.901840490797547,26.1,M,East Midlands Region,Lower Than A Level,30-40%,0-35,1,60,N,Fail,FFF_2014J
31600,AAA,2014J,5550.0,100.0,43.829314720808526,27.8,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,AAA_2014J
31604,AAA,2013J,7630.0,100.0,58.727791878154704,38.2,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,AAA_2013J
31663,BBB,2013B,6392.0,100.0,48.32487309643875,32.0,M,North Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,BBB_2013B
31849,BBB,2013J,6911.0,100.0,52.23984771572435,34.6,F,South West Region,Lower Than A Level,60-70%,35-55,0,120,N,Pass,BBB_2013J
32221,FFF,2013J,6700.0,75.0,37.30061349693251,33.5,M,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,FFF_2013J
32239,GGG,2013J,5500.0,100.0,43.60406091370214,27.5,F,London Region,A Level or Equivalent,30-40%,0-35,0,30,N,Pass,GGG_2013J
32327,BBB,2014J,610.0,10.0,,,F,South West Region,Lower Than A Level,20-30%,0-35,2,60,N,Withdrawn,BBB_2014J
32885,AAA,2013J,5500.0,100.0,43.585025380707236,27.5,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,AAA_2013J
32930,BBB,2014J,5530.0,100.0,43.696065989844186,27.6,F,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,BBB_2014J
33387,DDD,2013J,2335.0,40.0,,,M,Scotland,HE Qualification,10-20,0-35,1,120,N,Withdrawn,DDD_2013J
33600,FFF,2013J,1050.0,12.5,,,F,London Region,A Level or Equivalent,40-50%,35-55,0,150,N,Withdrawn,FFF_2013J
33666,BBB,2013B,1794.0,42.0,,,F,London Region,A Level or Equivalent,10-20,0-35,1,60,N,Withdrawn,BBB_2013B
33681,DDD,2013J,2955.0,40.0,,,M,South East Region,A Level or Equivalent,50-60%,35-55,2,60,Y,Withdrawn,DDD_2013J
33681,DDD,2014J,3505.0,50.0,23.726993865030675,17.5,M,South East Region,A Level or Equivalent,50-60%,35-55,3,60,Y,Fail,DDD_2014J
33796,DDD,2014J,10955.0,200.0,54.8,54.8,M,East Anglian Region,Lower Than A Level,80-90%,35-55,2,60,N,Distinction,DDD_2014J
33897,DDD,2013J,500.0,10.0,,,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn,DDD_2013J
33897,DDD,2014J,1430.0,25.0,,,M,West Midlands Region,Lower Than A Level,30-40%,0-35,1,60,N,Withdrawn,DDD_2014J
33915,FFF,2013B,9575.0,100.0,98.54521625162525,47.9,F,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,FFF_2013B
33930,DDD,2013J,13497.5,180.0,75.0,67.5,F,South West Region,A Level or Equivalent,20-30%,0-35,0,90,N,Distinction,DDD_2013J
34068,CCC,2014J,1322.0,18.0,,,M,Scotland,Lower Than A Level,50-60%,0-35,0,30,N,Withdrawn,CCC_2014J
34087,DDD,2013J,3370.0,40.0,,,M,South East Region,A Level or Equivalent,60-70%,35-55,0,60,Y,Withdrawn,DDD_2013J
34087,DDD,2014J,4175.0,50.0,27.13957055214724,20.9,M,South East Region,A Level or Equivalent,60-70%,35-55,1,60,Y,Fail,DDD_2014J
34229,BBB,2013B,6507.0,81.0,48.994289340092934,32.5,F,Ireland,A Level or Equivalent,0-10%,35-55,2,120,N,Pass,BBB_2013B
34293,FFF,2014B,1850.0,25.0,,,M,West Midlands Region,Lower Than A Level,60-70%,0-35,0,60,Y,Withdrawn,FFF_2014B
34353,BBB,2013B,6573.0,82.0,37.02453987730061,32.9,M,Scotland,A Level or Equivalent,70-80%,35-55,0,120,Y,Fail,BBB_2013B
34431,BBB,2013B,80.0,1.0,,,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,BBB_2013B
34653,DDD,2013J,2410.0,50.0,18.96472392638037,12.0,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,DDD_2013J
34662,BBB,2014J,680.0,10.0,,,F,South West Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn,BBB_2014J
34731,FFF,2013J,1850.0,25.0,,,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,FFF_2013J
34756,BBB,2013B,1353.0,24.0,,,F,East Midlands Region,Lower Than A Level,10-20,0-35,1,150,N,Withdrawn,BBB_2013B
34863,BBB,2013B,6322.0,100.0,47.684010152276926,31.6,F,London Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,BBB_2013B
35001,GGG,2013J,5000.0,66.7,30.874233128834355,25.0,F,East Midlands Region,Lower Than A Level,70-80%,35-55,0,30,N,Fail,GGG_2013J
35340,EEE,2014B,7816.0,100.0,60.39022842637647,39.1,M,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,EEE_2014B
35355,CCC,2014J,3073.0,48.0,,,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Withdrawn,CCC_2014J
35355,EEE,2013J,8320.0,100.0,64.68908629439267,41.6,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Pass,EEE_2013J
35502,DDD,2014B,660.0,10.0,,,M,West Midlands Region,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,DDD_2014B
35508,CCC,2014J,6106.0,75.0,46.28807106598384,30.5,M,South West Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass,CCC_2014J
35508,EEE,2014B,9284.0,100.0,95.67496723458855,46.4,M,South West Region,A Level or Equivalent,90-100%,0-35,0,30,N,Distinction,EEE_2014B
35544,FFF,2013B,8275.0,100.0,64.43210659896144,41.4,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,FFF_2013B
35747,FFF,2014J,675.0,12.5,,,M,North Western Region,A Level or Equivalent,0-10%,35-55,0,120,N,Withdrawn,FFF_2014J
35796,FFF,2014J,1025.0,12.5,8.765337423312884,5.1,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,FFF_2014J
35812,BBB,2013B,355.0,5.0,3.4432515337423313,1.8,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,BBB_2013B
35860,FFF,2013B,3925.0,50.0,40.241116751268805,19.6,M,South West Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,FFF_2013B
36347,FFF,2014B,5400.0,75.0,43.175761421316764,27.0,M,North Western Region,Lower Than A Level,10-20,0-35,0,120,N,Pass,FFF_2014B
36385,FFF,2013B,1875.0,25.0,,,M,West Midlands Region,Lower Than A Level,70-80%,0-35,0,120,Y,Withdrawn,FFF_2013B
37298,FFF,2013B,6550.0,75.0,49.409898477148374,32.8,M,Ireland,HE Qualification,,0-35,0,120,N,Pass,FFF_2013B
37622,BBB,2013J,7032.0,99.0,53.37246192892124,35.2,F,Scotland,HE Qualification,80-90%,0-35,1,120,N,Pass,BBB_2013J
37652,CCC,2014J,7420.0,75.0,74.78374836172783,37.1,F,London Region,HE Qualification,20-30%,35-55,0,50,N,Distinction,CCC_2014J
38053,AAA,2013J,6690.0,100.0,50.3934010152185,33.4,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,AAA_2013J
38234,BBB,2013J,4462.0,62.0,28.5659509202454,22.3,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,BBB_2013J
38711,BBB,2014J,3260.0,65.0,,,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,Y,Withdrawn,BBB_2014J
38941,BBB,2014B,385.0,5.0,3.5506134969325154,1.9,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,BBB_2014B
39208,BBB,2014J,7160.0,100.0,54.4098984771436,35.8,F,Wales,A Level or Equivalent,90-100%,35-55,0,120,N,Pass,BBB_2014J
39411,DDD,2013J,700.0,10.0,6.050613496932515,3.5,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,DDD_2013J
39427,DDD,2013J,840.0,10.0,,,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,DDD_2013J
39655,BBB,2013B,8298.0,100.0,80.28833551768862,41.5,F,Scotland,Lower Than A Level,50-60%,0-35,0,120,N,Distinction,BBB_2013B
39660,DDD,2014B,3480.0,60.0,23.619631901840492,17.4,F,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Fail,DDD_2014B
39882,FFF,2014B,5475.0,75.0,43.502538071062645,27.4,F,Scotland,A Level or Equivalent,80-90%,0-35,1,120,N,Pass,FFF_2014B
40184,DDD,2013J,19300.0,200.0,96.5,96.5,M,Wales,HE Qualification,30-40%,55<=,0,60,N,Distinction,DDD_2013J
40419,DDD,2013B,704.0,9.5,,,M,East Midlands Region,Lower Than A Level,20-30%,35-55,0,60,N,Withdrawn,DDD_2013B
40419,DDD,2013J,13972.5,200.0,69.9,69.9,M,East Midlands Region,Lower Than A Level,20-30%,35-55,1,60,N,Distinction,DDD_2013J
40563,DDD,2013J,12067.5,200.0,60.3,60.3,F,South East Region,A Level or Equivalent,0-10%,0-35,0,60,N,Distinction,DDD_2013J
40604,CCC,2014B,8444.0,134.0,65.7106598984526,42.2,M,Ireland,A Level or Equivalent,,35-55,0,30,N,Pass,CCC_2014B
40857,FFF,2014J,1075.0,12.5,,,F,North Western Region,A Level or Equivalent,30-40%,0-35,0,120,Y,Withdrawn,FFF_2014J
40878,FFF,2014J,8800.0,100.0,88.46657929225894,44.0,M,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Distinction,FFF_2014J
41060,DDD,2013B,6359.5,79.0,36.372699386503065,31.8,M,Ireland,HE Qualification,70-80%,0-35,0,60,N,Fail,DDD_2013B
41414,GGG,2014B,6666.7,100.0,50.158629441614664,33.3,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,30,Y,Pass,GGG_2014B
41547,BBB,2014J,4335.0,100.0,40.68845177664909,21.7,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2014J
42552,FFF,2014J,7175.0,100.0,54.46065989846335,35.9,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,FFF_2014J
42616,FFF,2013J,7375.0,100.0,56.21827411165964,36.9,F,Scotland,Lower Than A Level,80-90%,35-55,0,60,N,Pass,FFF_2013J
42638,CCC,2014B,10013.0,150.0,66.8,50.1,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Distinction,CCC_2014B
42638,EEE,2013J,8048.0,100.0,62.471446700486155,40.2,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Pass,EEE_2013J
42668,FFF,2013B,7875.0,100.0,60.91370558373637,39.4,M,London Region,Lower Than A Level,10-20,35-55,1,120,N,Pass,FFF_2013B
42746,CCC,2014J,14578.0,150.0,97.2,72.9,F,South Region,HE Qualification,50-60%,35-55,0,60,N,Distinction,CCC_2014J
42746,FFF,2014B,9250.0,100.0,94.99344692004102,46.2,F,South Region,HE Qualification,50-60%,35-55,0,60,N,Distinction,FFF_2014B
42818,DDD,2013J,390.0,10.0,3.75,2.0,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,Y,Fail,DDD_2013J
43273,FFF,2013B,7075.0,100.0,53.63261421318495,35.4,M,East Midlands Region,HE Qualification,60-70%,35-55,0,90,N,Pass,FFF_2013B
43284,DDD,2013B,4020.0,60.0,,,M,East Midlands Region,Lower Than A Level,80-90%,0-35,2,180,N,Withdrawn,DDD_2013B
43430,FFF,2013B,9475.0,100.0,69.55266497459107,47.4,M,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,FFF_2013B
43564,EEE,2013J,9260.0,100.0,69.20050761418531,46.3,M,Scotland,HE Qualification,80-90%,35-55,0,60,N,Pass,EEE_2013J
43958,FFF,2013J,2300.0,25.0,,,M,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,FFF_2013J
43958,FFF,2014J,4450.0,50.0,28.48926380368098,22.2,M,Wales,A Level or Equivalent,90-100%,35-55,1,60,N,Fail,FFF_2014J
45423,FFF,2014J,5275.0,100.0,32.193251533742334,26.4,M,South West Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,FFF_2014J
45462,AAA,2013J,6780.0,100.0,51.1199238578574,33.9,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,AAA_2013J
45642,AAA,2013J,7250.0,100.0,54.96510152282835,36.2,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA_2013J
45664,CCC,2014B,769.0,18.0,,,M,Yorkshire Region,HE Qualification,60-70%,0-35,0,60,N,Withdrawn,CCC_2014B
45664,DDD,2013B,9528.0,197.0,48.4,47.6,M,Yorkshire Region,HE Qualification,60-70%,0-35,1,60,N,Distinction,DDD_2013B
46016,DDD,2014J,1625.0,25.0,,,M,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,DDD_2014J
46148,FFF,2014B,8525.0,100.0,66.11040609134562,42.6,M,North Western Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,FFF_2014B
46605,CCC,2014B,14222.0,150.0,94.8,71.1,M,East Anglian Region,HE Qualification,60-70%,35-55,0,60,N,Distinction,CCC_2014B
46705,CCC,2014J,5981.0,78.0,35.04601226993865,29.9,M,Ireland,HE Qualification,,35-55,0,60,N,Fail,CCC_2014J
46753,DDD,2014B,8387.5,180.0,46.6,41.9,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,DDD_2014B
46812,DDD,2014J,275.0,5.0,,,F,North Region,Lower Than A Level,0-10%,0-35,1,180,Y,Withdrawn,DDD_2014J
46844,AAA,2014J,6650.0,100.0,50.063451776640136,33.2,M,North Region,HE Qualification,30-40%,35-55,0,60,N,Pass,AAA_2014J
47061,EEE,2014J,7020.0,100.0,53.20748730963206,35.1,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass,EEE_2014J
47063,DDD,2013J,3007.5,60.0,,,M,London Region,HE Qualification,40-50%,35-55,0,120,N,Withdrawn,DDD_2013J
47855,BBB,2013J,4477.0,100.0,,,F,Scotland,Lower Than A Level,10-20,35-55,3,300,N,Withdrawn,BBB_2013J
47861,FFF,2014J,4975.0,100.0,41.90355329949057,24.9,M,South East Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass,FFF_2014J
47891,BBB,2014J,1370.0,30.0,10.966257668711656,6.8,F,Wales,Lower Than A Level,10-20,0-35,4,60,N,Fail,BBB_2014J
47924,FFF,2013J,1025.0,25.0,8.78834355828221,5.1,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,FFF_2013J
48040,BBB,2013J,6360.0,100.0,48.07423857867249,31.8,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,120,N,Pass,BBB_2013J
48152,DDD,2013J,8837.5,180.0,49.1,44.2,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,120,N,Distinction,DDD_2013J
48503,BBB,2013J,6036.0,82.0,46.037436548217585,30.2,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,BBB_2013J
48635,CCC,2014J,156.0,2.0,,,M,South Region,HE Qualification,90-100%,0-35,0,120,N,Withdrawn,CCC_2014J
48635,FFF,2014B,8325.0,100.0,64.6827411167277,41.6,M,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass,FFF_2014B
49119,CCC,2014B,14141.0,150.0,94.3,70.7,M,Ireland,HE Qualification,,0-35,0,90,N,Distinction,CCC_2014B
49119,DDD,2014B,1602.5,22.5,,,M,Ireland,HE Qualification,,0-35,0,90,N,Withdrawn,DDD_2014B
49123,GGG,2014B,7533.3,100.0,57.883883248713886,37.7,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,30,N,Pass,GGG_2014B
50069,BBB,2014B,3388.0,44.0,23.190184049079754,16.9,F,Scotland,A Level or Equivalent,30-40%,0-35,0,90,N,Fail,BBB_2014B
50263,CCC,2014B,634.0,11.0,,,M,West Midlands Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,CCC_2014B
50263,FFF,2013B,8300.0,100.0,64.47335025378374,41.5,M,West Midlands Region,HE Qualification,80-90%,35-55,0,60,N,Pass,FFF_2013B
50476,DDD,2014B,15667.5,180.0,87.0,78.3,F,South West Region,HE Qualification,0-10%,0-35,0,60,N,Distinction,DDD_2014B
50487,FFF,2013J,8300.0,100.0,64.48921319794616,41.5,F,East Anglian Region,Lower Than A Level,90-100%,0-35,1,60,N,Pass,FFF_2013J
50610,DDD,2013J,3470.0,40.0,23.680981595092025,17.4,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,1,70,Y,Fail,DDD_2013J
50993,BBB,2013B,2275.0,81.0,18.48159509202454,11.4,F,Scotland,Lower Than A Level,0-10%,0-35,0,60,Y,Fail,BBB_2013B
51030,DDD,2014B,13792.5,180.0,76.6,69.0,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Distinction,DDD_2014B
51033,DDD,2014J,14055.0,200.0,70.3,70.3,F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Distinction,DDD_2014J
51153,DDD,2014J,11250.0,200.0,56.2,56.2,F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,Distinction,DDD_2014J
51163,DDD,2013J,15107.5,200.0,75.5,75.5,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Distinction,DDD_2013J
51301,BBB,2013J,465.0,5.0,,,F,Wales,Lower Than A Level,30-40%,0-35,2,60,Y,Withdrawn,BBB_2013J
51485,FFF,2013J,9300.0,100.0,96.19921363039434,46.5,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,120,N,Distinction,FFF_2013J
51576,CCC,2014B,928.0,11.0,,,F,London Region,Lower Than A Level,10-20,0-35,0,90,N,Withdrawn,CCC_2014B
51576,CCC,2014J,1042.0,11.0,,,F,London Region,Lower Than A Level,10-20,0-35,1,60,N,Withdrawn,CCC_2014J
51576,FFF,2013J,8400.0,100.0,81.31061598950991,42.0,F,London Region,Lower Than A Level,10-20,0-35,0,90,N,Distinction,FFF_2013J
